,Home Team,Away Team,Day,Matchweek,Competition,Season,Home Odds,Deuce Odds,Away Odds,Home Coach,Away Coach,lrc,lrc_proba_a,lrc_proba_d,lrc_proba_h,lrc_odds_a,lrc_odds_d,lrc_odds_h,rfc,rfc_proba_a,rfc_proba_d,rfc_proba_h,rfc_odds_a,rfc_odds_d,rfc_odds_h,mlp,mlp_proba_a,mlp_proba_d,mlp_proba_h,mlp_odds_a,mlp_odds_d,mlp_odds_h,knc,knc_proba_a,knc_proba_d,knc_proba_h,knc_odds_a,knc_odds_d,knc_odds_h
18,CA Osasuna,UD Levante,SA,29.0,La Liga,2021-2022,1.9,3.5,4.2,Jagoba Arrasate,Alessio Lisci,H,0.26,0.29,0.45,3.85,3.45,2.22,H,0.26,0.3,0.44,3.85,3.33,2.27,H,0.27,0.31,0.42,3.7,3.23,2.38,H,0.31,0.3,0.38,3.23,3.33,2.63
19,Cagliari Calcio,AC Mailand,SA,30.0,Serie A,2021-2022,5.25,4.0,1.6,Walter Mazzarri,Stefano Pioli,A,0.63,0.2,0.17,1.59,5.0,5.88,A,0.48,0.28,0.24,2.08,3.57,4.17,A,0.63,0.23,0.13,1.59,4.35,7.69,A,0.5,0.23,0.26,2.0,4.35,3.85
20,Rayo Vallecano,Atletico Madrid,SA,29.0,La Liga,2021-2022,4.0,3.25,2.0,Iraola,Diego Simeone,H,0.34,0.3,0.36,2.94,3.33,2.78,A,0.4,0.29,0.31,2.5,3.45,3.23,H,0.34,0.3,0.36,2.94,3.33,2.78,H,0.26,0.33,0.42,3.85,3.03,2.38
21,FC Nantes,LOSC Lille,SA,29.0,Ligue 1,2021-2022,3.0,2.8,2.75,Antoine Kombouaré,Jocelyn Gourvennec,A,0.37,0.3,0.33,2.7,3.33,3.03,H,0.34,0.3,0.35,2.94,3.33,2.86,A,0.37,0.3,0.34,2.7,3.33,2.94,H,0.29,0.28,0.43,3.45,3.57,2.33
22,FC Venedig,Sampdoria Genua,SU,30.0,Serie A,2021-2022,2.62,3.3,2.7,Paolo Zanetti,Marco Giampaolo,H,0.34,0.27,0.39,2.94,3.7,2.56,A,0.38,0.29,0.33,2.63,3.45,3.03,A,0.36,0.3,0.35,2.78,3.33,2.86,H,0.31,0.28,0.41,3.23,3.57,2.44
23,AS Monaco,Paris Saint-Germain,SU,29.0,Ligue 1,2021-2022,3.75,3.8,1.9,Philippe Clement,Mauricio Pochettino,A,0.43,0.26,0.31,2.33,3.85,3.23,A,0.43,0.3,0.27,2.33,3.33,3.7,A,0.49,0.28,0.23,2.04,3.57,4.35,A,0.39,0.31,0.3,2.56,3.23,3.33
24,Leicester City,FC Brentford,SU,30.0,Premier League,2021-2022,2.1,3.5,3.5,Brendan Rodgers,Thomas Frank,H,0.24,0.26,0.51,4.17,3.85,1.96,H,0.25,0.28,0.47,4.0,3.57,2.13,H,0.22,0.28,0.5,4.55,3.57,2.0,H,0.26,0.28,0.46,3.85,3.57,2.17
25,RCD Espanyol Barcelona,RCD Mallorca,SU,29.0,La Liga,2021-2022,2.04,3.5,3.5,Moreno,Luis García,H,0.2,0.3,0.49,5.0,3.33,2.04,H,0.26,0.34,0.41,3.85,2.94,2.44,H,0.21,0.29,0.5,4.76,3.45,2.0,H,0.27,0.3,0.43,3.7,3.33,2.33
26,Juventus Turin,US Salernitana,SU,30.0,Serie A,2021-2022,1.2,7.0,13.0,Massimiliano Allegri,Davide Nicola,H,0.06,0.17,0.77,16.67,5.88,1.3,H,0.12,0.2,0.67,8.33,5.0,1.49,H,0.04,0.14,0.82,25.0,7.14,1.22,H,0.15,0.18,0.68,6.67,5.56,1.47
27,Stade Rennes,FC Metz,SU,29.0,Ligue 1,2021-2022,1.28,5.0,13.0,Bruno Génésio,Frédéric Antonetti,H,0.06,0.19,0.76,16.67,5.26,1.32,H,0.12,0.26,0.62,8.33,3.85,1.61,H,0.06,0.16,0.78,16.67,6.25,1.28,H,0.14,0.22,0.63,7.14,4.55,1.59
