,Home Team,Away Team,Day,Matchweek,Competition,Season,Prediction
0,FC Watford,Norwich City,Fr.,23,Premier League,2021-2022,H
1,FC Everton,Aston Villa,Sa.,23,Premier League,2021-2022,A
2,FC Brentford,Wolverhampton Wanderers,Sa.,23,Premier League,2021-2022,H
3,Leeds United,Newcastle United,Sa.,23,Premier League,2021-2022,H
4,Manchester United,West Ham United,Sa.,23,Premier League,2021-2022,A
5,FC Southampton,Manchester City,Sa.,23,Premier League,2021-2022,A
6,FC Arsenal,FC Burnley,So.,23,Premier League,2021-2022,H
7,Crystal Palace,FC Liverpool,So.,23,Premier League,2021-2022,A
8,Leicester City,Brighton & Hove Albion,So.,23,Premier League,2021-2022,A
9,FC Chelsea,Tottenham Hotspur,So.,23,Premier League,2021-2022,A
10,Eintracht Frankfurt,Arminia Bielefeld,Fr.,20,Bundesliga,2021-2022,H
11,Bayer 04 Leverkusen,FC Augsburg,Sa.,20,Bundesliga,2021-2022,H
12,Borussia Mönchengladbach,1. FC Union Berlin,Sa.,20,Bundesliga,2021-2022,D
13,SC Freiburg,VfB Stuttgart,Sa.,20,Bundesliga,2021-2022,H
14,SpVgg Greuther Fürth,1. FSV Mainz 05,Sa.,20,Bundesliga,2021-2022,H
15,TSG 1899 Hoffenheim,Borussia Dortmund,Sa.,20,Bundesliga,2021-2022,A
16,VfL Bochum,1. FC Köln,Sa.,20,Bundesliga,2021-2022,D
17,Rasenballsport Leipzig,VfL Wolfsburg,So.,20,Bundesliga,2021-2022,H
18,Hertha BSC,FC Bayern München,So.,20,Bundesliga,2021-2022,A
19,Real Madrid,FC Elche,So.,22,La Liga,2021-2022,H
20,Rayo Vallecano,Athletic Bilbao,So.,22,La Liga,2021-2022,H
21,Deportivo Alavés,FC Barcelona,So.,22,La Liga,2021-2022,A
22,Olympique Lyon,AS Saint-Étienne,Fr.,22,Ligue 1,2021-2022,H
23,Stade Brest,LOSC Lille,Sa.,22,Ligue 1,2021-2022,H
24,RC Lens,Olympique Marseille,Sa.,22,Ligue 1,2021-2022,A
25,FC Metz,OGC Nizza,So.,22,Ligue 1,2021-2022,H
26,SCO Angers,ES Troyes AC,So.,22,Ligue 1,2021-2022,H
27,Girondins Bordeaux,Racing Strasbourg,So.,22,Ligue 1,2021-2022,A
28,Clermont Foot,Stade Rennes,So.,22,Ligue 1,2021-2022,A
29,FC Nantes,FC Lorient,So.,22,Ligue 1,2021-2022,H
30,HSC Montpellier,AS Monaco,So.,22,Ligue 1,2021-2022,A
31,Paris Saint-Germain,Stade Reims,So.,22,Ligue 1,2021-2022,H
32,Hellas Verona,FC Bologna,Fr.,23,Serie A,2021-2022,H
33,CFC Genua,Udinese Calcio,Sa.,23,Serie A,2021-2022,H
34,Inter Mailand,FC Venedig,Sa.,23,Serie A,2021-2022,H
35,Lazio Rom,Atalanta Bergamo,Sa.,23,Serie A,2021-2022,H
36,Cagliari Calcio,AC Florenz,So.,23,Serie A,2021-2022,A
37,SSC Neapel,US Salernitana,So.,23,Serie A,2021-2022,H
38,Spezia Calcio,Sampdoria Genua,So.,23,Serie A,2021-2022,H
39,Spezia Calcio,Sampdoria Genua,So.,23,Serie A,2021-2022,H
40,FC Turin,US Sassuolo Calcio,So.,23,Serie A,2021-2022,H
41,FC Empoli,AS Rom,So.,23,Serie A,2021-2022,A
42,AC Mailand,Juventus Turin,So.,23,Serie A,2021-2022,H
