,Home Team,Away Team,Day,Matchweek,Competition,Season,lrc_Prediction,rfc_Prediction,mlp_Prediction,knc_Prediction
33,US Salernitana,FC Bologna,Sa.,27,Serie A,2021-2022,A,A,A,H
34,FC Empoli,Juventus Turin,Sa.,27,Serie A,2021-2022,A,A,A,H
35,US Sassuolo Calcio,AC Florenz,Sa.,27,Serie A,2021-2022,A,A,A,A
36,FC Turin,Cagliari Calcio,So.,27,Serie A,2021-2022,H,H,H,H
37,Hellas Verona,FC Venedig,So.,27,Serie A,2021-2022,H,H,H,H
38,Spezia Calcio,AS Rom,So.,27,Serie A,2021-2022,A,A,A,A
39,Lazio Rom,SSC Neapel,So.,27,Serie A,2021-2022,H,D,H,H
40,Atalanta Bergamo,Sampdoria Genua,Mo.,27,Serie A,2021-2022,H,H,H,H
