,Home Team,Away Team,Day,Matchweek,Competition,Season,Prediction
0,Brighton & Hove Albion,Crystal Palace,Fr.,22,Premier League,2021-2022,H
1,Manchester City,FC Chelsea,Sa.,22,Premier League,2021-2022,H
2,FC Burnley,Leicester City,Sa.,22,Premier League,2021-2022,H
3,Newcastle United,FC Watford,Sa.,22,Premier League,2021-2022,H
4,Norwich City,FC Everton,Sa.,22,Premier League,2021-2022,H
5,Wolverhampton Wanderers,FC Southampton,Sa.,22,Premier League,2021-2022,H
6,Aston Villa,Manchester United,Sa.,22,Premier League,2021-2022,D
7,FC Liverpool,FC Brentford,So.,22,Premier League,2021-2022,H
8,West Ham United,Leeds United,So.,22,Premier League,2021-2022,H
9,Tottenham Hotspur,FC Arsenal,So.,22,Premier League,2021-2022,H
10,Borussia Dortmund,SC Freiburg,Fr.,19,Bundesliga,2021-2022,H
11,1. FC Köln,FC Bayern München,Sa.,19,Bundesliga,2021-2022,A
12,1. FSV Mainz 05,VfL Bochum,Sa.,19,Bundesliga,2021-2022,H
13,VfB Stuttgart,Rasenballsport Leipzig,Sa.,19,Bundesliga,2021-2022,A
14,1. FC Union Berlin,TSG 1899 Hoffenheim,Sa.,19,Bundesliga,2021-2022,A
15,VfL Wolfsburg,Hertha BSC,Sa.,19,Bundesliga,2021-2022,H
16,Borussia Mönchengladbach,Bayer 04 Leverkusen,Sa.,19,Bundesliga,2021-2022,A
17,FC Augsburg,Eintracht Frankfurt,So.,19,Bundesliga,2021-2022,H
18,Arminia Bielefeld,SpVgg Greuther Fürth,So.,19,Bundesliga,2021-2022,H
19,FC Elche,Villarreal CF,So.,21,La Liga,2021-2022,A
20,OGC Nizza,FC Nantes,Fr.,21,Ligue 1,2021-2022,H
21,AS Saint-Étienne,RC Lens,Sa.,21,Ligue 1,2021-2022,A
22,Paris Saint-Germain,Stade Brest,Sa.,21,Ligue 1,2021-2022,H
23,Stade Rennes,Girondins Bordeaux,So.,21,Ligue 1,2021-2022,H
24,FC Lorient,SCO Angers,So.,21,Ligue 1,2021-2022,A
25,AS Monaco,Clermont Foot,So.,21,Ligue 1,2021-2022,H
26,Stade Reims,FC Metz,So.,21,Ligue 1,2021-2022,H
27,Racing Strasbourg,HSC Montpellier,So.,21,Ligue 1,2021-2022,H
28,ES Troyes AC,Olympique Lyon,So.,21,Ligue 1,2021-2022,H
29,Olympique Marseille,LOSC Lille,So.,21,Ligue 1,2021-2022,H
30,Sampdoria Genua,FC Turin,Sa.,22,Serie A,2021-2022,A
31,US Salernitana,Lazio Rom,Sa.,22,Serie A,2021-2022,A
32,Juventus Turin,Udinese Calcio,Sa.,22,Serie A,2021-2022,H
33,US Sassuolo Calcio,Hellas Verona,So.,22,Serie A,2021-2022,H
34,FC Venedig,FC Empoli,So.,22,Serie A,2021-2022,H
35,AS Rom,Cagliari Calcio,So.,22,Serie A,2021-2022,H
36,Atalanta Bergamo,Inter Mailand,So.,22,Serie A,2021-2022,H
37,FC Bologna,SSC Neapel,Mo.,22,Serie A,2021-2022,A
38,AC Mailand,Spezia Calcio,Mo.,22,Serie A,2021-2022,H
39,AC Florenz,CFC Genua,Mo.,22,Serie A,2021-2022,H
