,club_name,season,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,club_contract_valid_until,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
276,Inter Mailand,2018-2019,82.5,85.06,26343750.0,80625.0,26.44,182.69,76.94,2021.12,2.38,76.4,67.33,70.73,77.13,64.47,73.93,66.53,63.47,69.33,76.4,63.6,76.93,63.67,53.2,70.53,79.73,76.27,76.4,71.8,79.0,69.53,76.27,71.4,78.6,73.0,68.87,71.13,65.0,68.93,71.47,61.47,78.2,66.47,62.27,59.53,87,86,69,89,89,53.0
277,Inter Mailand,2019-2020,82.12,84.44,25218750.0,78250.0,26.69,181.56,76.19,2021.88,2.25,70.27,66.2,72.2,76.33,65.8,73.0,65.8,61.8,66.87,78.07,62.47,76.13,66.53,55.6,73.93,79.0,70.6,70.07,70.13,78.47,69.53,75.2,68.6,76.07,71.4,68.4,74.33,65.2,68.2,72.4,64.47,78.73,68.53,64.47,61.87,88,85,69,89,89,53.0
278,Inter Mailand,2020-2021,82.25,84.88,38781250.0,113937.5,27.06,181.94,75.62,2022.81,2.25,72.07,68.2,75.27,77.53,70.73,76.13,69.27,64.4,69.47,80.87,63.87,77.27,68.67,59.73,76.73,81.07,72.87,71.4,70.6,80.33,71.0,75.93,73.4,80.07,74.4,70.33,76.07,72.47,70.0,75.47,64.6,81.4,70.73,71.27,67.87,79,69,72,75,80,40.0
279,Inter Mailand,2021-2022,82.44,84.12,35875000.0,109625.0,28.0,182.81,75.31,2023.12,2.62,73.2,66.8,74.13,78.73,65.47,73.33,68.87,63.93,70.6,79.87,63.2,77.4,67.6,58.13,75.27,82.2,73.13,73.4,74.13,80.53,73.07,73.27,73.07,78.13,72.13,67.87,70.33,67.53,69.0,74.6,63.4,80.67,66.4,63.67,58.53,81,81,65,92,87,47.0
280,Juventus Turin,2017-2018,84.38,85.88,34468750.0,151250.0,27.81,183.62,79.12,2020.06,2.94,77.13,66.67,72.0,77.27,64.6,75.73,69.4,62.73,72.13,77.07,65.73,77.33,67.47,60.33,70.2,78.4,75.67,78.33,74.27,82.13,70.4,76.73,74.53,78.0,76.2,66.47,72.07,65.6,67.53,70.6,64.73,80.67,61.0,65.07,64.0,83,77,74,78,87,49.0
281,Juventus Turin,2018-2019,85.56,87.12,37343750.0,165937.5,28.38,183.94,79.88,2021.06,2.94,76.67,67.4,73.53,78.73,69.33,75.93,71.0,62.33,72.0,78.07,67.2,79.2,70.0,61.6,72.2,80.07,75.13,78.0,74.53,83.8,69.13,78.73,76.33,78.4,75.47,68.53,73.8,70.73,66.67,72.73,64.53,82.6,69.47,68.27,65.87,81,85,71,79,90,56.0
282,Juventus Turin,2019-2020,85.25,87.06,36312500.0,160687.5,27.94,184.69,80.75,2021.94,3.0,73.67,68.47,74.67,78.73,68.2,75.13,69.4,62.2,72.07,80.47,67.93,78.6,69.93,63.2,74.4,81.47,72.27,74.67,74.87,83.13,71.6,79.93,75.73,77.4,75.4,72.47,71.27,68.53,66.73,74.27,65.53,82.87,68.4,67.87,64.0,85,82,73,86,88,49.0
283,Juventus Turin,2020-2021,83.56,85.75,43937500.0,104812.5,27.5,184.38,79.5,2023.06,2.69,75.67,67.73,74.67,79.53,68.6,72.8,70.33,62.0,69.67,80.2,64.2,79.53,70.73,61.47,74.07,81.8,74.33,76.8,74.4,82.47,72.27,78.13,73.87,76.33,71.6,72.0,71.67,68.93,66.0,74.13,64.8,81.93,67.6,69.8,65.53,86,82,73,87,88,49.0
284,Juventus Turin,2021-2022,82.19,84.88,42281250.0,86750.0,26.12,183.75,77.75,2023.06,2.5,77.8,72.0,75.33,81.2,64.27,74.2,73.53,67.13,65.8,80.73,71.87,82.13,74.67,63.27,71.67,82.8,76.53,78.73,76.33,79.73,74.73,80.27,71.67,78.4,74.6,75.67,68.73,62.6,73.53,73.67,66.67,79.2,65.0,64.47,62.53,86,82,73,87,88,49.0
285,LOSC Lille,2017-2018,73.25,79.62,5798437.5,28625.0,23.06,181.12,78.69,2020.69,1.31,76.2,58.0,62.73,70.13,55.93,67.0,63.4,53.27,62.07,67.27,49.0,69.87,56.6,54.13,60.6,70.47,74.67,77.4,71.0,68.4,69.4,69.8,69.0,69.0,67.87,59.4,62.47,56.53,59.93,59.07,56.4,67.27,53.07,56.93,54.27,76,80,74,77,88,52.0
286,LOSC Lille,2018-2019,74.19,81.12,6937500.0,20937.5,23.81,182.06,78.25,2021.5,1.25,73.53,61.93,64.0,71.2,48.8,67.2,61.13,59.27,61.67,69.27,56.07,71.13,61.33,56.73,60.07,71.8,73.0,74.07,71.73,70.6,66.07,69.13,69.13,67.87,67.87,62.33,64.2,48.6,63.53,63.2,59.93,70.13,46.6,47.93,45.27,75,72,72,76,76,43.0
287,LOSC Lille,2019-2020,76.38,82.5,10000000.0,29937.5,24.19,182.75,79.44,2022.12,1.31,71.73,59.33,66.4,71.47,57.4,71.0,60.47,56.8,67.0,73.27,53.8,70.8,62.87,52.13,65.67,73.73,71.0,72.4,70.0,72.07,67.07,66.13,70.6,73.0,70.13,58.07,70.6,57.33,63.73,65.53,58.53,73.53,54.4,58.33,53.73,78,77,78,78,83,46.0
288,LOSC Lille,2020-2021,76.5,82.19,16006250.0,28875.0,24.06,181.5,76.12,2022.81,1.25,76.07,63.07,68.47,74.53,54.73,70.6,66.27,61.0,64.47,73.33,57.4,74.4,66.53,53.07,66.4,75.33,75.33,76.87,74.13,72.8,70.53,68.8,68.93,74.73,69.53,62.6,69.2,52.67,68.87,68.4,59.67,74.13,52.13,55.8,53.33,80,80,82,82,83,46.0
289,LOSC Lille,2021-2022,77.5,82.0,17687500.0,30937.5,24.38,182.19,75.06,2023.56,1.75,77.8,63.93,69.93,74.8,59.27,74.2,67.8,60.8,66.07,74.73,57.33,74.8,66.2,52.2,68.27,75.67,76.67,78.73,74.53,75.6,67.47,72.2,71.0,78.27,73.33,64.33,71.73,58.47,69.93,70.07,58.6,74.6,56.93,60.47,56.53,76,72,68,69,75,41.0
290,Lazio Rom,2017-2018,79.0,82.19,14625000.0,51875.0,26.38,183.62,77.31,2019.88,2.25,72.8,61.13,66.2,71.47,64.4,73.8,61.4,55.47,68.0,73.4,57.73,70.73,60.13,51.8,68.07,73.8,72.33,73.27,68.87,76.67,66.6,73.0,69.0,72.47,75.47,64.87,72.4,67.13,60.93,62.13,55.13,75.53,60.73,65.27,63.47,74,70,73,69,80,44.0
291,Lazio Rom,2018-2019,80.0,82.88,18062500.0,53125.0,26.69,184.81,79.44,2021.0,1.94,72.53,64.93,68.2,73.13,66.13,75.53,60.8,60.47,68.07,75.0,62.53,72.73,63.47,54.6,69.93,76.07,72.73,72.2,67.53,78.27,64.8,74.53,69.87,75.0,78.0,67.93,71.4,66.47,63.6,66.8,59.87,75.2,66.4,65.8,63.47,81,77,75,77,86,44.0
292,Lazio Rom,2019-2020,80.44,82.75,20031250.0,55875.0,26.69,184.38,79.56,2022.06,1.75,75.33,61.93,68.33,74.27,65.53,72.6,61.6,58.73,68.33,75.4,58.67,74.47,62.2,54.07,69.47,76.6,75.67,75.13,68.33,78.27,65.8,70.07,66.6,71.47,75.07,62.73,68.93,66.47,61.13,66.93,58.27,74.47,64.67,65.73,62.33,84,78,75,79,87,44.0
293,Lazio Rom,2020-2021,80.31,82.19,28687500.0,67937.5,27.75,184.75,79.56,2022.81,1.69,75.27,65.67,70.07,75.93,64.07,74.07,61.87,63.53,69.87,77.6,61.6,76.6,64.87,53.27,70.8,78.6,74.4,75.93,66.93,78.93,66.8,73.53,68.87,74.47,75.53,64.93,71.07,64.07,65.8,70.07,60.87,75.87,62.67,64.6,60.93,86,79,75,81,88,44.0
294,Lazio Rom,2021-2022,79.88,81.0,23062500.0,66062.5,28.44,182.94,75.75,2023.62,2.06,73.33,66.27,71.33,76.4,63.53,70.87,64.47,64.47,64.33,77.67,61.8,76.47,67.27,54.4,70.93,79.13,72.67,73.93,69.93,77.53,70.6,73.07,63.6,75.47,69.47,66.0,70.53,65.47,67.13,72.07,60.27,76.73,62.53,63.4,60.53,82,77,74,77,84,43.0
295,Leeds United,2020-2021,73.31,77.12,6200000.0,60312.5,26.12,181.31,73.31,2022.81,1.19,73.93,62.4,66.6,70.73,53.8,69.27,65.13,60.13,61.33,70.13,54.33,69.13,61.33,56.4,64.4,72.0,73.73,74.13,73.4,70.67,72.4,69.33,64.8,79.13,67.0,61.93,63.2,53.33,66.53,67.53,61.27,70.07,51.87,54.27,51.73,70,67,70,67,73,28.0
296,Leeds United,2021-2022,77.0,80.56,15893750.0,63250.0,25.69,183.31,75.44,2024.38,1.56,73.47,61.07,68.13,72.0,62.0,73.93,64.2,58.8,64.67,74.6,53.13,70.33,57.67,49.33,67.8,75.07,72.33,74.6,70.47,74.8,68.6,68.8,69.73,80.47,72.47,60.0,70.33,61.87,65.47,67.33,57.93,74.13,62.0,62.4,57.0,79,76,73,73,81,36.0
297,Leicester City,2017-2018,77.94,81.25,12656250.0,65625.0,26.31,183.44,80.94,2020.12,1.81,70.4,66.53,64.33,71.07,53.4,74.27,57.27,64.0,67.87,70.4,63.67,70.07,57.07,54.73,64.53,73.53,69.27,71.4,68.53,75.27,66.27,75.73,72.73,78.8,74.07,64.2,69.13,53.8,68.93,64.27,63.13,72.2,48.47,54.93,48.4,83,82,82,80,86,61.0
298,Leicester City,2018-2019,78.19,82.06,12937500.0,58750.0,25.12,182.94,79.06,2021.88,1.69,69.73,60.53,66.33,70.87,61.8,70.2,61.27,57.13,62.6,71.53,57.2,69.67,60.8,55.67,65.87,74.07,69.73,70.0,67.8,74.2,65.2,70.67,67.87,71.53,68.87,57.93,72.2,61.47,64.33,66.27,60.93,72.2,60.8,62.87,59.53,83,77,82,80,88,60.0
299,Leicester City,2019-2020,78.31,82.31,13625000.0,70437.5,25.19,179.88,74.62,2022.62,1.69,72.67,63.4,70.4,73.8,63.8,69.13,66.13,59.8,60.53,74.8,59.73,73.07,66.93,59.93,68.87,76.2,73.4,72.13,71.4,74.67,70.8,73.53,68.47,76.73,64.33,61.53,71.0,63.07,67.27,70.73,60.47,74.0,63.4,66.07,61.67,82,77,79,79,88,58.0
300,Leicester City,2020-2021,79.75,82.81,25500000.0,82562.5,25.94,181.5,76.31,2023.0,1.62,73.4,65.53,71.0,74.8,62.8,69.13,67.53,63.13,63.87,76.47,60.8,73.93,66.0,57.2,68.33,77.27,73.67,73.27,71.47,78.6,69.2,74.07,69.0,75.13,66.13,64.2,68.8,60.53,69.47,71.47,59.2,76.4,63.33,64.73,58.07,82,77,83,79,89,54.0
301,Leicester City,2021-2022,80.56,84.06,29625000.0,96000.0,25.06,181.44,75.88,2023.94,1.38,77.87,66.47,70.73,76.87,61.2,71.67,66.67,65.0,64.53,76.53,62.33,76.47,66.33,55.73,69.2,78.47,77.2,78.13,75.2,79.27,72.87,72.67,71.2,78.13,68.27,64.33,72.4,59.47,72.67,70.67,60.4,76.13,60.67,63.0,57.8,84,78,80,83,90,47.0
302,Manchester City,2017-2018,83.44,87.06,32875000.0,158437.5,26.12,181.0,76.12,2020.44,2.94,77.4,68.53,74.73,79.33,58.0,73.33,72.07,65.87,63.93,80.2,61.67,78.4,72.73,60.6,72.13,81.13,77.67,77.07,77.87,82.0,75.13,75.33,69.53,78.87,73.33,69.2,68.2,58.73,72.0,73.73,64.93,81.0,53.47,60.27,56.6,81,76,82,78,87,63.0
303,Manchester City,2018-2019,85.19,88.12,42750000.0,182187.5,26.06,180.81,74.81,2021.69,2.81,76.87,67.93,76.2,80.07,60.73,71.33,74.07,64.87,66.07,81.33,62.6,79.27,73.2,61.2,72.8,82.73,76.73,76.93,76.73,83.13,75.6,75.53,69.47,76.93,69.6,68.07,68.67,58.93,73.0,75.53,65.27,82.13,63.47,59.27,54.47,85,80,90,82,87,63.0
304,Manchester City,2019-2020,86.06,88.38,46687500.0,204062.5,26.69,180.44,73.06,2022.75,2.69,78.07,71.6,79.0,83.0,61.73,71.6,75.73,69.13,64.87,83.47,67.47,82.6,75.87,67.67,76.13,85.53,78.73,77.47,79.13,85.4,79.47,77.33,68.93,81.33,67.93,72.0,68.6,59.73,77.73,79.8,64.87,84.07,64.07,61.33,55.0,86,82,93,86,88,63.0
305,Manchester City,2020-2021,84.69,87.44,66250000.0,183187.5,25.75,179.94,74.06,2023.56,2.31,78.53,72.07,79.0,82.8,61.07,70.87,76.93,69.47,64.0,82.87,65.27,82.6,77.13,65.2,76.13,84.73,79.67,77.73,79.6,83.8,78.93,78.73,67.67,79.67,67.67,73.07,68.2,59.4,78.8,80.33,63.93,82.87,62.8,61.2,55.93,86,82,93,86,88,63.0
306,Manchester City,2021-2022,85.69,88.12,75125000.0,190312.5,26.31,181.44,76.12,2024.62,2.81,77.0,70.67,78.53,82.4,63.33,72.33,74.4,69.0,64.13,83.67,63.07,82.0,73.4,65.0,77.93,84.87,77.53,76.73,78.13,84.47,76.87,77.87,66.33,81.4,69.33,70.13,70.07,62.27,75.07,78.4,61.8,82.93,64.67,64.0,58.27,87,82,93,88,88,64.0
307,Manchester United,2017-2018,83.56,86.5,32125000.0,152812.5,25.75,186.12,79.0,2019.38,2.94,76.93,67.67,72.67,76.4,62.13,78.67,70.87,64.6,72.0,77.67,66.47,76.33,70.93,63.27,70.33,77.87,76.2,77.67,74.67,81.27,66.53,75.87,73.87,81.07,78.87,65.53,76.4,63.73,70.93,70.73,68.2,79.33,57.73,62.8,59.4,90,85,87,86,90,58.0
308,Manchester United,2018-2019,83.25,86.0,33625000.0,159062.5,25.5,183.31,74.88,2020.19,2.62,74.73,69.47,73.87,77.07,62.87,75.13,71.07,67.4,70.13,78.47,65.87,77.07,70.73,63.67,72.6,78.93,73.0,76.13,73.07,80.6,70.13,75.13,73.47,78.67,73.27,69.2,74.8,64.27,70.0,72.6,68.2,78.87,62.0,62.47,58.0,90,85,87,88,94,58.0
309,Manchester United,2019-2020,81.94,84.38,26000000.0,127562.5,26.0,183.75,75.25,2022.0,2.44,73.0,64.13,71.33,75.67,66.87,74.8,67.53,60.33,71.6,76.4,61.87,75.8,66.27,59.4,70.47,77.27,71.4,74.13,71.73,79.27,69.13,73.13,75.27,75.2,74.13,63.47,76.2,67.0,67.93,71.0,63.47,78.33,66.07,67.47,63.2,90,84,81,85,92,58.0
310,Manchester United,2020-2021,81.62,85.94,43968750.0,116687.5,24.06,183.94,76.94,2023.5,2.0,76.93,67.27,73.93,78.27,66.67,76.2,70.73,62.93,68.6,78.27,61.33,78.47,71.67,60.2,71.87,79.6,75.27,78.4,75.27,80.53,71.2,77.73,73.47,80.33,74.33,68.4,75.47,67.2,71.67,74.8,62.6,80.07,66.27,67.2,63.0,88,81,78,82,89,58.0
311,Manchester United,2021-2022,83.88,86.94,53406250.0,150375.0,26.0,185.5,78.19,2024.06,2.88,76.93,73.4,76.4,79.93,62.27,76.67,73.2,70.73,71.67,80.87,69.0,79.8,76.2,65.4,73.53,82.47,74.93,78.47,75.47,83.8,68.33,80.87,76.27,80.2,76.6,72.67,73.07,61.67,77.93,77.07,67.67,82.73,59.8,62.8,58.27,80,79,78,76,83,50.0
312,Newcastle United,2017-2018,75.0,79.5,8100000.0,53125.0,24.5,182.25,76.06,2020.31,1.25,70.53,62.2,63.27,70.2,54.87,71.47,58.13,59.2,69.07,70.33,59.0,69.2,59.93,54.27,62.0,71.47,69.8,71.2,72.33,71.93,66.47,71.2,74.0,72.73,71.0,60.73,70.0,52.6,65.27,59.2,56.93,69.53,50.73,56.73,51.87,70,69,64,66,73,55.0
313,Newcastle United,2018-2019,76.31,78.75,8875000.0,43125.0,26.44,183.0,80.19,2020.88,1.44,67.33,61.8,64.73,69.87,58.2,70.2,59.0,58.67,69.87,71.87,57.67,68.67,63.2,52.07,62.27,72.67,67.0,67.27,68.87,73.33,64.27,70.13,73.53,71.67,69.67,61.27,69.07,56.0,64.47,63.8,60.27,72.53,57.53,57.6,54.0,75,78,81,75,78,45.0
314,Newcastle United,2019-2020,77.06,79.69,10625000.0,38500.0,26.44,182.81,78.81,2021.81,1.5,68.53,64.0,66.13,71.53,58.73,72.13,60.87,60.27,70.0,72.67,57.47,70.8,60.2,50.33,65.67,73.93,68.0,68.87,69.27,73.53,65.13,74.6,73.6,71.6,72.47,64.33,70.8,58.2,64.8,65.07,58.07,75.33,55.87,59.0,56.8,77,80,81,79,81,46.0
315,Newcastle United,2020-2021,77.19,80.12,13312500.0,38375.0,26.31,180.0,75.25,2023.56,1.25,72.73,60.27,66.87,72.27,61.13,70.53,62.13,56.47,61.2,73.67,55.27,71.4,63.2,51.53,65.93,74.07,72.33,72.87,71.4,74.73,69.73,69.53,69.87,75.87,68.07,60.07,69.67,61.07,65.87,65.13,56.13,75.27,59.93,62.93,59.07,79,80,81,82,86,46.0
316,Newcastle United,2021-2022,75.75,78.25,9375000.0,34750.0,26.75,181.44,75.88,2024.19,1.56,69.0,63.13,66.4,72.07,60.8,70.27,61.47,60.13,62.93,72.07,57.07,71.93,63.07,51.67,66.87,73.67,69.0,68.93,69.27,73.67,68.13,73.0,68.27,72.33,69.47,61.47,70.07,60.8,67.0,65.47,57.93,73.33,59.6,62.2,57.6,79,78,80,79,82,46.0
317,Norwich City,2019-2020,74.0,77.81,6168750.0,34437.5,25.62,181.5,76.56,2022.0,1.25,70.47,60.33,65.33,70.6,57.73,68.33,60.27,57.27,57.93,71.27,56.2,69.33,60.33,50.47,63.87,71.67,71.2,69.87,72.73,70.13,70.13,68.33,64.07,73.47,66.93,61.27,66.07,56.13,64.93,66.33,52.07,72.13,57.8,60.07,52.07,82,79,44,79,84,43.0
318,Norwich City,2021-2022,74.44,80.06,7900000.0,28625.0,24.56,180.75,73.25,2023.62,1.12,74.67,59.8,64.93,72.4,57.53,68.2,59.73,59.33,58.47,71.13,55.13,71.47,60.53,50.0,63.53,73.0,75.73,73.73,75.2,71.87,71.53,65.47,66.53,75.07,64.93,56.13,68.07,58.07,64.47,65.33,53.93,71.4,57.13,58.4,54.07,77,75,71,77,79,40.0
319,OGC Nizza,2017-2018,77.56,82.62,12468750.0,32812.5,24.31,178.31,73.94,2019.62,1.94,72.33,61.6,72.0,74.13,61.07,71.8,68.47,59.73,61.27,76.93,53.4,72.8,67.87,59.27,72.47,76.8,72.53,72.27,73.4,72.87,72.47,69.47,67.6,74.0,72.4,60.47,68.53,61.93,62.53,70.67,57.73,75.53,59.87,62.0,59.4,78,75,75,80,82,46.0
320,OGC Nizza,2018-2019,75.5,80.75,8812500.0,25937.5,23.94,182.25,75.75,2020.44,1.5,70.53,61.07,68.27,72.53,59.6,70.07,65.4,60.47,66.07,73.13,51.53,72.0,60.13,53.87,68.47,74.87,69.93,71.13,72.4,70.0,67.0,67.07,70.6,72.07,71.2,59.13,64.6,60.0,65.4,67.67,54.47,72.0,57.33,60.07,57.47,75,77,68,77,79,47.0
321,OGC Nizza,2019-2020,74.75,79.69,7375000.0,23687.5,24.19,182.06,75.62,2021.31,1.19,70.87,62.27,66.4,71.8,60.33,69.2,63.67,60.93,66.6,72.07,53.87,71.2,60.4,53.73,65.67,73.67,70.27,71.33,72.0,69.67,68.33,69.4,70.6,70.93,70.33,60.8,64.2,61.53,66.27,65.07,58.6,72.87,58.53,60.2,57.67,79,79,74,79,82,48.0
322,OGC Nizza,2020-2021,75.44,80.69,12056250.0,26687.5,23.88,180.19,72.44,2022.88,1.25,74.67,63.4,68.87,74.27,61.53,70.67,66.53,62.4,63.47,73.93,55.67,74.27,67.33,55.27,67.4,74.87,74.6,74.73,74.13,71.53,72.0,68.6,69.33,74.53,71.13,62.53,64.93,60.6,69.4,67.27,56.8,73.67,60.6,63.0,59.67,80,79,77,80,83,48.0
323,OGC Nizza,2021-2022,76.44,81.31,14531250.0,27875.0,23.44,181.88,75.12,2024.0,1.5,77.67,65.13,69.47,74.93,59.93,71.27,64.6,63.2,65.07,74.8,59.0,74.93,66.73,55.93,67.53,75.87,76.27,79.07,74.07,73.27,72.2,72.0,69.53,75.07,72.13,64.07,64.93,57.73,68.4,70.8,58.67,74.2,60.4,60.2,55.53,80,79,72,80,83,48.0
324,Olympique Lyon,2017-2018,77.0,81.56,11400000.0,53750.0,23.75,180.81,76.12,2020.44,1.88,73.13,59.93,65.27,71.8,59.07,74.2,61.07,54.73,65.73,72.0,55.0,70.87,61.0,55.47,64.0,73.27,73.53,72.8,71.53,73.93,70.53,72.07,74.53,74.6,75.13,60.4,71.33,59.0,62.0,61.87,58.07,73.4,56.27,60.07,56.4,86,81,71,79,85,62.0
325,Olympique Lyon,2018-2019,79.06,83.5,16968750.0,55625.0,24.06,178.88,75.5,2021.06,1.75,78.2,65.67,71.4,76.47,61.47,75.93,68.87,62.33,64.6,76.6,58.6,76.33,67.47,58.4,69.4,77.27,78.33,77.93,75.6,76.07,75.47,75.4,73.47,79.07,74.6,65.4,75.6,62.2,69.93,70.8,59.2,74.13,59.8,62.53,59.2,86,80,74,81,87,64.0
326,Olympique Lyon,2019-2020,78.69,83.88,16750000.0,60250.0,23.62,180.5,76.19,2022.25,1.44,78.13,62.67,69.47,74.4,60.33,73.87,66.2,60.47,65.93,75.4,57.33,73.53,64.2,54.0,66.93,76.4,77.53,78.67,74.2,75.47,71.53,70.6,73.53,77.33,72.73,61.27,72.67,60.8,66.93,69.33,56.87,74.27,58.8,60.27,58.0,87,80,75,84,89,64.0
327,Olympique Lyon,2020-2021,77.75,83.19,22781250.0,56125.0,24.12,180.69,75.56,2023.31,1.25,76.33,65.6,70.33,75.13,59.33,73.47,64.73,63.47,64.13,76.27,59.2,74.73,66.53,54.87,68.87,76.6,75.53,77.07,74.07,76.27,72.53,73.4,70.13,77.93,72.87,64.6,69.93,60.2,67.93,71.33,58.73,75.53,58.53,59.13,55.27,85,80,74,80,86,64.0
328,Olympique Lyon,2021-2022,78.62,82.25,20593750.0,58687.5,25.31,180.0,74.94,2023.38,2.25,75.87,66.47,72.93,77.53,58.93,72.07,67.73,63.13,60.93,77.93,62.47,77.67,68.53,59.67,71.53,78.27,75.2,76.53,76.0,77.73,73.73,75.07,67.6,75.07,72.0,66.33,69.0,60.47,69.93,74.53,61.0,78.13,57.8,59.33,55.47,84,78,70,80,86,63.0
329,Olympique Marseille,2017-2018,78.19,80.56,13000000.0,32187.5,26.44,181.94,76.19,2020.0,2.06,69.93,65.4,68.6,71.67,57.47,72.4,66.27,60.73,69.93,73.13,60.07,71.27,65.8,59.73,69.0,72.73,69.87,69.93,71.4,75.4,66.33,76.27,70.67,73.2,73.0,67.33,70.07,60.2,67.07,66.13,59.87,74.0,52.47,56.93,55.4,86,78,77,77,85,48.0
330,Olympique Marseille,2018-2019,78.44,81.69,13618750.0,44375.0,26.0,181.19,75.06,2020.94,1.88,73.73,63.93,69.67,72.6,59.13,73.87,67.53,60.53,70.0,74.27,58.53,71.67,65.67,58.33,69.07,74.33,73.33,74.13,72.27,76.33,68.6,72.8,71.8,78.33,72.13,64.93,72.67,59.6,66.27,67.73,60.53,72.67,58.47,56.87,55.93,86,81,70,79,84,48.0
331,Olympique Marseille,2019-2020,77.75,80.12,11281250.0,34875.0,26.81,180.62,73.88,2021.5,1.75,72.87,62.93,70.8,72.13,61.27,72.0,67.47,58.87,68.0,76.0,57.33,69.87,64.0,58.27,71.93,74.4,73.67,72.0,73.4,76.2,71.47,73.8,70.93,76.8,70.13,61.53,70.67,61.87,67.0,69.2,62.67,74.8,61.87,58.93,58.67,80,79,74,79,81,48.0
332,Olympique Marseille,2020-2021,78.38,80.12,16068750.0,38625.0,27.38,180.06,73.5,2022.44,1.69,71.2,65.2,72.27,73.87,61.93,71.67,67.4,61.87,67.53,77.6,59.6,72.67,68.07,59.0,73.33,75.67,71.67,70.8,73.53,76.6,72.33,74.13,71.2,77.93,69.07,64.47,69.67,62.6,70.27,71.13,63.13,76.07,62.6,60.47,57.8,81,81,78,81,84,48.0
333,Olympique Marseille,2021-2022,77.56,81.56,16250000.0,39187.5,24.44,183.0,74.62,2023.56,1.69,71.93,57.2,69.27,72.47,65.47,73.67,63.47,52.2,65.93,76.47,51.47,71.53,62.8,51.0,72.2,75.53,71.67,72.13,68.73,73.47,69.0,69.8,69.2,74.87,74.4,55.87,70.87,65.07,62.4,66.67,56.47,73.07,65.2,66.2,63.47,80,79,72,80,82,48.0
334,Olympique Nîmes,2018-2019,69.5,74.81,2145312.5,9187.5,24.19,182.25,74.19,2020.25,1.0,67.0,59.0,61.33,65.93,48.93,67.13,58.8,57.07,59.8,67.13,51.53,64.27,54.6,51.4,58.07,67.47,66.8,67.53,69.2,64.4,65.0,64.47,65.07,67.07,70.07,60.33,60.73,45.27,60.13,60.2,54.4,63.27,54.67,44.27,41.87,72,73,69,73,74,29.0
335,Olympique Nîmes,2019-2020,71.0,74.88,3618750.0,13375.0,25.12,182.62,75.75,2021.44,1.0,67.53,55.93,63.4,65.93,58.33,69.4,58.33,52.27,60.4,69.8,48.53,65.07,55.13,51.33,63.67,67.73,66.53,68.2,64.8,67.13,65.4,64.27,65.07,71.33,71.8,57.0,61.93,58.8,61.33,61.8,53.07,66.2,58.47,58.2,54.4,78,74,73,76,84,29.0
336,Olympique Nîmes,2020-2021,71.75,75.88,3787500.0,14062.5,25.44,180.75,72.75,2022.25,1.12,67.53,52.27,63.2,66.73,61.87,68.2,59.67,47.8,60.4,69.53,43.4,64.93,52.27,45.73,63.53,68.6,66.6,68.27,68.53,68.6,68.33,62.27,68.07,74.6,64.87,52.73,68.2,60.53,60.47,62.27,51.07,67.0,62.27,63.27,60.4,74,72,74,75,77,45.0
337,Paris Saint-Germain,2017-2018,83.5,86.81,36156250.0,109687.5,25.25,181.5,74.31,2019.94,3.0,77.53,68.87,75.33,81.13,59.73,71.67,72.0,66.67,67.93,80.53,67.93,81.4,70.0,62.8,74.27,82.8,77.67,77.27,79.53,80.73,70.93,73.73,73.8,76.27,69.6,68.27,70.6,61.73,72.67,74.33,67.47,80.93,54.53,61.27,57.87,80,78,79,84,84,49.0
338,Paris Saint-Germain,2018-2019,83.69,87.31,37687500.0,110000.0,24.75,182.38,75.69,2020.62,2.62,78.67,69.8,76.8,80.27,63.87,72.6,73.8,67.93,69.6,81.67,67.8,79.0,72.8,63.67,75.47,83.33,78.6,78.67,79.73,82.07,73.47,74.47,73.53,79.4,69.67,69.93,71.4,65.47,73.67,76.27,63.93,81.67,59.4,65.4,62.67,83,78,70,77,84,53.0
339,Paris Saint-Germain,2019-2020,84.44,86.5,38593750.0,122750.0,27.0,180.69,74.75,2021.88,2.88,76.6,67.8,77.6,81.13,67.33,72.47,74.87,64.4,68.27,82.53,64.73,79.73,72.67,64.2,76.67,84.13,76.93,76.4,80.07,83.07,74.67,74.53,72.07,80.27,68.6,68.87,73.2,69.4,74.33,77.27,65.07,82.67,65.07,68.67,65.0,85,79,80,78,84,55.0
